gene_symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,GeneID
DDX11L1,17.473085309295595,0.062307749443280776,0.14041963495196005,0.44372533417137366,0.6572411767721857,0.7937921257683098,100287102
WASH7P,599.6329409471947,0.015170814493006163,0.10170427547981496,0.14916594628332103,0.8814226902517966,0.9340344194092887,653635
MIR6859-1,21.318809413748316,0.02676008752481679,0.13509518202163007,0.1980832115873106,0.8429799597939046,0.9116427818291684,102466751
MIR1302-2HG,3.2786830780139242,0.48532582522529594,0.17771121497733905,2.730980288932145,0.006314624822971839,0.0416088671370823,107985730
MIR1302-2,0.8761186540780965,0.21128923176636683,0.2522151372312124,0.8377341427079863,0.4021800333610316,0.5935275731538212,100302278
FAM138A,1.5886563499634117,-0.25889087886833556,0.18015052818497104,-1.4370808760689129,0.15069501447200018,0.31664597918768317,645520
OR4F5,0.0,,,,,,79501
LOC100996442,173.61607936161542,-0.3102668959534513,0.10822286300514383,-2.866925595367998,0.004144804450184287,0.03228030844972539,100996442
LOC729737,299.3633944919928,0.04104457672477109,0.15706912150140684,0.26131537715644165,0.7938493091844545,0.882017807372643,729737
DDX11L17,14.53793845505884,0.03468957815422124,0.18077439138578666,0.19189431582812508,0.8478249900145379,0.9144875332735032,102725121
WASH9P,633.6220923570879,0.003002624783554793,0.09643528189205106,0.031136164323301393,0.9751609486827798,0.9867273539027487,102723897
MIR6859-2,25.575527592439013,-0.020558492956176445,0.12375474886813094,-0.16612286109588337,0.868060263568081,0.9260322945163367,102465909
LOC107985721,5.317647987839323,0.007056163579047267,0.18229481428487904,0.03870742898928727,0.969123650372829,0.983804273994231,107985721
LOC112268260,94.13664894375273,-0.43197310882140016,0.12339505008430622,-3.500732878071419,0.00046398065730644404,0.008945436601283168,112268260
OR4F29,0.774888685942028,0.2821511271233727,0.26272709737737754,1.0739323424948999,0.2828530063325073,0.4755242782762571,729759
LOC100132287,252.40675129915073,-0.08826116878896263,0.13341325485087877,-0.6615622179941236,0.5082518279869861,0.685071856366978,100132287
LOC105378947,6.972508322273888,-0.15075878968788103,0.13982285438780417,-1.0782127882309256,0.28093880623242606,0.4734447416164558,105378947
LOC101928626,0.39304360932590254,-0.16437141233789354,0.4087433003445611,-0.402138486916684,0.6875821096917052,,101928626
MIR12136,16275.051285372047,-0.0634773381943475,0.11473154653614809,-0.5532683913952812,0.5800796417676508,0.7400718472217073,113219467
OR4F16,6.085813973360385,0.19548824413917,0.16018065995802155,1.2204235154880838,0.2223043674440236,0.40793117306815635,81399
LOC100133331,263.5684148406251,-0.0797961337183342,0.13032449873917068,-0.6122880539754607,0.5403471919866829,0.7099033745532645,100133331
LOC107984841,65.97588204763352,-0.025934733971206266,0.14341746416769813,-0.1808338623313041,0.8564979829650958,0.9193904723194435,107984841
LOC107984847,75.51411702280726,-0.054345668202488595,0.1509065354125466,-0.3601279961395908,0.7187514175414469,0.8360309729830246,107984847
LOC107984849,18.873394488520002,-0.07515631637345449,0.16070327816578658,-0.4676713333496586,0.6400196442426664,0.7825683758784433,107984849
LOC100288069,112.40832925288714,-0.17884150006042474,0.12891096775778563,-1.387325711466653,0.16534246634816707,0.33651457351919417,100288069
LINC01409,72.57023392396792,-0.017479644606380764,0.10390356281852879,-0.16822950178243237,0.8664027326159828,0.9249958373642357,105378580
FAM87B,24.760693395097363,-0.227010403838021,0.10874662772785146,-2.087516721954226,0.036841451088899455,0.12863876176936717,400728
LINC00115,51.878494956644374,-0.08533441473987136,0.12157723143123496,-0.7018947029414564,0.4827448325866647,0.6646636271434717,79854
LINC01128,1035.1017946531383,-0.3890635563069189,0.11490923448204826,-3.385833680475006,0.0007096237817691058,0.011634557290411249,643837
LOC107984850,8.33677423151656,-0.23143418254064532,0.14248969911914636,-1.6242169361809502,0.10432951754279099,0.2508710522057164,107984850
